
cancer risk	multivitamin use
betel nuts	cancer
meat	inflammation
cigarette smoking	cancer
liquid smoke	dna mutations
beer	estrogenic effects
obesity	obesity
bacteria	infections
coffee drinking	cancer
lung cancer	smoking
saturated fat	dysfunction
sucralose	insulin resistance
asthma	breathing
inflammation	kangaroo meat
air pollution	lung inflammation
carcinogens	dna mutations
milk intake	acne
hormones	dna mutations
poultry exposure	liver
free radicals	dysfunction
coffee-drinking	cancer
meat allergies	tick bites
